"filename", "language", "MS SQL", "Markdown", "Python", "JSON", "C#", "PowerShell", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Console.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Electronic.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\Color.cs", "C#", 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 38
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\RamSize.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\RefreshRate.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 14, 34
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\Region.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\ScreenResolution.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\StorageCapacity.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 10, 25
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\WebcamResolution.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 9, 29
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\HandheldDevice.cs", "C#", 0, 0, 0, 0, 22, 0, 0, 0, 1, 3, 26
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Laptop.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 0, 1, 3, 28
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\TvMonitor.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Cv.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\DayWeek.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 0, 0, 11, 35
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\EducationDegree.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 0, 8, 26
