"filename", "language", "Markdown", "MS SQL", "C#", "JSON", "Python", "PowerShell", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 9, 5, 20
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.xml", "XML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 42
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjimswa.dswa.cache.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjsmcshtml.dswa.cache.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjsmrazor.dswa.cache.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rpswa.dswa.cache.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
